record_id,data_source,icij_source,node_type,primary_name,jurisdiction,status,incorporated,inactivated,struck_off,company_type,countries,address,address_type,notes
10002226,ICIJ,Panama Papers,ENTITY,R. K. ALI LIMITED,SAM,Active,13-OCT-2006,,,,SAM;GBR,A MALIDA CHARTERED ACCS [Mr Arif Malida] 66 Moyser Road London Sw16 6Sq E15 2BY,BUSINESS,
10002271,ICIJ,Panama Papers,ENTITY,KPM LIMITED,SAM,Defaulted,06-DEC-2006,16-FEB-2009,15-FEB-2009,,SAM;GBR,MR KASH PATEL C/O Bp Egypt Mailbag Britannic House 1 Finsbury Circus London Ec2M 7Ba EC2V 8AR,BUSINESS,
10002297,ICIJ,Panama Papers,ENTITY,FORDALD INC.,PMA,Active,16-APR-1980,,,,PMA;FRA,HOWARD KENNEDY SOLICITO [Mr Michael Chapelow] 19 Cavendish Square London W1A 2Aw FRANCE,BUSINESS,
10002345,ICIJ,Panama Papers,ENTITY,ZURICH HOLDINGS INC.,PMA,Defaulted,14-DEC-1988,15-DEC-1994,14-MAR-1990,,PMA;GBR,"PORTNER AND JASKEL 8 WELBECK WAY LONDON W1M 8NB ENGLAND, UNITED KINGDOM",BUSINESS,
10002349,ICIJ,Panama Papers,ENTITY,ALL AMERICAN CONSULTING SERVICES INC.,PMA,Inactivated,09-MAR-1988,06-MAR-1990,09-JUN-1989,,PMA;GBR,"STONEHAGE LIMITED (LONDON) 8 QUEEN ANNE STREET LONDON, W1M 9LD ENGLAND",BUSINESS,
10002395,ICIJ,Panama Papers,ENTITY,CLOVERDALE ASSOCIATES INC.,PMA,Defaulted,07-APR-1988,25-NOV-1991,07-JUL-1989,,PMA;GBR,"HAMLIN SLOWE & CO. (LONDON) P. O. BOX 4SQ ROXBURGHE HOUSE 273-287 REGENT STREET LONDON W1A 4SQ ENGLAND, UNITED KINGDOM",BUSINESS,
10002427,ICIJ,Panama Papers,ENTITY,PANROC HOLDINGS INC.,PMA,Active,03-OCT-1988,,,,PMA;GBR,NEWHAVEN GROUP LIMITED 3RD FLOOR 35 SOHO SQUARE LONDON W1D 3QX UNITED KINGDOM,BUSINESS,
10002751,ICIJ,Panama Papers,ENTITY,RAYVIC INC.,PMA,Dissolved,03-MAY-1988,28-DEC-1990,03-AUG-1989,,PMA;GBR,"STONEHAGE LIMITED (LONDON) 8 QUEEN ANNE STREET LONDON, W1M 9LD ENGLAND",BUSINESS,
10002793,ICIJ,Panama Papers,ENTITY,MAGNOLIA ASSOCIATES S.A.,PMA,Bad debt account,21-FEB-1989,27-JAN-1993,21-MAY-1990,,PMA;GBR,"CLIFFORD CHANCE (LONDON) 200 ALDERSGATE STREET LONDON EC1A 4JJ ENGLAND, UNITED KINGDOM",BUSINESS,
10002865,ICIJ,Panama Papers,ENTITY,KILDARE ENTERPRISES INC.,PMA,Trash company,12-APR-1988,04-JAN-1993,12-JUL-1989,,PMA;GBR,"COHEN AND NAICKER 258 BELSIZE ROAD LONDON NW6 4BT ENGLAND, UNITED KINGDOM",BUSINESS,
10002935,ICIJ,Panama Papers,ENTITY,UNIVERSAL SURVEYS & MARKETING INC.,PMA,Defaulted,30-MAR-1990,05-JUN-1995,30-JUN-1991,,PMA;GBR,T.R. SOUTH AND CO. 4 WOODYARD LANE DULWICH; LONDON SE21 7BH ENGLAND; UNITED KINGDOM *S.I.*,BUSINESS,
10003013,ICIJ,Panama Papers,ENTITY,COMET ASSOCIATES S.A.,PMA,Trash company,06-APR-1989,09-JUL-1992,06-JUL-1990,,PMA;GBR,PARVEZ & CO. CHARTERED ACCOUNTANTS 20 GREYHOUND ROAD LONDON W6 8NX ENGLAND,BUSINESS,
10003014,ICIJ,Panama Papers,ENTITY,SATCO INTERNATIONAL CORPORATION,PMA,Active,23-MAY-1989,,,,PMA;GBR,PARVEZ & CO. CHARTERED ACCOUNTANTS 20 GREYHOUND ROAD LONDON W6 8NX ENGLAND,BUSINESS,
10003053,ICIJ,Panama Papers,ENTITY,WALTHAM ASSOCIATES INC.,PMA,Defaulted,21-FEB-1989,09-APR-1992,21-MAY-1990,,PMA;GBR,FINERS STEPHENS INNOCENT 179 GREAT PORTLAND STREET LONDON W1W 5LS ENGLAND ATT.: MR. MICHAEL I. GREEN **S.I.**,BUSINESS,
10003054,ICIJ,Panama Papers,ENTITY,PIEDMONT LEAF TOBACCO COMPANY N.V.,PMA,Defaulted,24-MAY-1989,01-JUN-2010,15-JUL-2011,,PMA;GBR,BRECO SERVICES LTD [Sheila Crosby/ Joyce Jerrard] New Boundary House London Rd Sunningdale SL5 0DJ,BUSINESS,
10003254,ICIJ,Panama Papers,ENTITY,CASCA HOLDINGS S.A.,PMA,Dissolved,08-NOV-1988,23-JUL-2010,15-JAN-2013,,PMA;GBR,MR. ABDUL BAQI ARSHAD 11 RECTORY ORCHARD CHURCH ROAD LONDON SW19 5AS ENGLAND S.I.,BUSINESS,
10003290,ICIJ,Panama Papers,ENTITY,EXCELLENCE INTERNATIONAL CORPORATION,PMA,Changed agent,22-JUN-1988,27-JUN-2005,15-JUL-2007,,PMA;JEY,"ATTENDUS TREUHANDGESELL Aft [Ms D Neugebauer] No.1 Royal Exchange Ave 1St Fl, Room 5 London Ec3V 3Lt JERSEY JE4 0XP",BUSINESS,
10003320,ICIJ,Panama Papers,ENTITY,SHELLARD MEDIA S.A.,PMA,Dissolved,03-OCT-1988,24-NOV-1993,03-JAN-1990,,PMA;GBR,"INTERTRUST LIMITED SCEPTRE HOUSE 169-173 REGENT STREET LONDON W1R 7FB ENGLAND, UNITED KINGDOM",BUSINESS,
10003449,ICIJ,Panama Papers,ENTITY,DELAMAIN INC.,PMA,Defaulted,16-MAR-1989,25-NOV-1991,16-JUN-1990,,PMA;GBR,"MR. P. L. ELLIOTT 50 LINCOLN'S INN FIELDS LONDON WC2A 3PF ENGLAND, UNITED KINGDOM",BUSINESS,
10003535,ICIJ,Panama Papers,ENTITY,MARCH HOLDINGS INC.,PMA,Dissolved,13-OCT-1989,02-JAN-2014,15-JAN-2016,,PMA;GBR,MR FARERA AHMED SHAYA C/O National Bank Of Kuwait 13 George Street London W1U 3Qj W6 9LP,BUSINESS,
10003648,ICIJ,Panama Papers,ENTITY,NORDIN INVESTMENTS INC.,SAM,Defaulted,15-FEB-2007,18-FEB-2013,15-FEB-2013,,SAM;GBR,MR M S AHMAD C/O SS Enterprise UK Ltd 5 Fairfax Avenue East Ewell London KT17 2QN,BUSINESS,
10003580,ICIJ,Panama Papers,ENTITY,LE MIRAGE INC.,PMA,Defaulted,08-MAR-1989,24-MAR-1993,08-JUN-1990,,PMA;ZAF,MR. ELIAHU SHMID P. O. BOX 3279 CAMBRIDGE 5206 EAST LONDON REPUBLIC OF SOUTH AFRICA,BUSINESS,
10003589,ICIJ,Panama Papers,ENTITY,SAFAD HOLDINGS INC.,PMA,Defaulted,19-APR-1988,22-OCT-1991,19-JUL-1989,,PMA;GBR,"MICHAEL PETTMAN PETTMAN SMITH 79 KNIGHTSBRIDGE LONDON SW1X 7RB ENGLAND, UNITED KINGDOM",BUSINESS,
10003868,ICIJ,Panama Papers,ENTITY,"UREPE INTERNATIONAL, S.A.",PMA,Inactivated,25-AUG-1980,11-MAY-1988,25-NOV-1981,,PMA;GBR,"C.M.S. CAMERON MCKENNA SCEPTRE COURT 40 TOWER HILL LONDON EC3N 4BB ENGLAND, UNITED KINGDOM",BUSINESS,
10003913,ICIJ,Panama Papers,ENTITY,CRANBROOK ENTERPRISES INC.,PMA,Dissolved,21-FEB-1989,20-JAN-2004,30-JUN-2005,,PMA;GBR,MR. ALAN KUTCHUKIAN 87 HAMILTON TERRACE LONDON NW8 9QX ENGLAND,BUSINESS,
10004019,ICIJ,Panama Papers,ENTITY,SANDROCK TRADING S.A.,PMA,Dissolved,11-JUL-1978,10-SEP-1998,11-OCT-1979,,PMA;GBR,SANDROCK TRADING S. A. C/O BAKER & MACKENZIE ALDWYCH HOUSE; ALDWYCH LONDON WC2B 4JP ENGLAND; UNITED KINGDOM,BUSINESS,
10004096,ICIJ,Panama Papers,ENTITY,MAYBERRY HOLDINGS INC.,PMA,Defaulted,29-MAR-1989,25-NOV-1991,29-JUN-1990,,PMA;GBR,FINERS STEPHENS INNOCENT 179 GREAT PORTLAND STREET LONDON W1W 5LS ENGLAND ATT.: MR. MICHAEL I. GREEN **S.I.**,BUSINESS,
10004178,ICIJ,Panama Papers,ENTITY,SOUTHWING INVESTMENTS LTD.,SAM,Active,28-AUG-2006,,,,SAM;GBR,A MALIDA CHARTERED ACCS [Mr Arif Malida] 66 Moyser Road London Sw16 6Sq E15 2BY,BUSINESS,
10004201,ICIJ,Panama Papers,ENTITY,MARETT PROPERTY INC.,PMA,Active,29-MAR-1989,,,,PMA;GBR,MR A KHAYAL Flat 8 29 Palace Gate London W8 5Ly W14 0ZJ,BUSINESS,
10004232,ICIJ,Panama Papers,ENTITY,GAZEERA HOLDINGS LTD.,NEV,Defaulted,20-SEP-2007,,01-OCT-2015,,NEV;GBR,CEC GROUP LIMITED 11 HERA COURT CYCLOPS WHARF HOMER DRIVE LONDON E14 3UJ UNITED KINGDOM,BUSINESS,
10004370,ICIJ,Panama Papers,ENTITY,GRAYSTONE TRADING INC.,PMA,Defaulted,05-APR-1989,04-MAY-1994,05-JUL-1990,,PMA;GBR,"TROWERS & HAMLINS 3 BUNHILL ROW LONDON  DX 774 - EC1Y 8YZ,  UNITED KINGDOM",BUSINESS,
10004503,ICIJ,Panama Papers,ENTITY,WESTMOUNT ASSOCIATE INC.,PMA,Defaulted,07-MAR-1989,08-JUL-2004,07-JUN-2003,,PMA;GBR,"MR. DIEGO HERNANDEZ NETHERFIELD LONDON ROAD, CROWBOROUGH EAST SUSSEX TN6 1TD ENGLAND CROWBOROUGH UNITED KINGDOM",BUSINESS,
10004563,ICIJ,Panama Papers,ENTITY,CLAIRVALE INC.,PMA,Defaulted,05-APR-1989,04-DEC-1996,05-JUL-1990,,PMA;GBR,"FOX & GIBBONS 2 OLD BURLINGTON STREET LONDON W1X 2QA ENGLAND, UNITED KINGDOM",BUSINESS,
10004599,ICIJ,Panama Papers,ENTITY,LODESTAR MARITIME S.A.,PMA,Dissolved,14-OCT-1980,16-MAR-1992,14-JAN-1982,,PMA;GBR,"CLIFFORD CHANCE (LONDON) 200 ALDERSGATE STREET LONDON EC1A 4JJ ENGLAND, UNITED KINGDOM",BUSINESS,
10004608,ICIJ,Panama Papers,ENTITY,HK HOLDING S.A.,PMA,Dissolved,13-MAR-1989,28-FEB-2004,30-JUN-2005,,PMA;GBR,T.R. SOUTH AND CO. 4 WOODYARD LANE DULWICH; LONDON SE21 7BH ENGLAND; UNITED KINGDOM *S.I.*,BUSINESS,
10004645,ICIJ,Panama Papers,ENTITY,UPTON HOUSE INC.,PMA,Changed agent,25-FEB-1988,12-APR-1991,25-MAY-1989,,PMA;GBR,"STONEHAGE LIMITED (LONDON) 8 QUEEN ANNE STREET LONDON, W1M 9LD ENGLAND",BUSINESS,
10004667,ICIJ,Panama Papers,ENTITY,ALLMAN PROPERTY S.A.,PMA,Defaulted,06-APR-1989,17-MAR-1997,06-JUL-1990,,PMA;GBR,"ALLMAN PROPERTY S.A. DE GIORGIO & CO. 4TH FLOOR 50 HANS CRESCENT KNIGHTSBRIDGE, LONDON SW1X ONB ENGLAND ATTN.: MR. MICHAEL DE GIORGIO",BUSINESS,
10004671,ICIJ,Panama Papers,ENTITY,RIGEL INTERNATIONAL INC.,PMA,Dissolved,04-JUL-1980,11-DEC-2006,15-JAN-2009,,PMA;GBR,HAROLD BENJAMIN SOLICITORS 48 QUEEN ANNE STREET LONDON W1G 9JJ ENGLAND,BUSINESS,
10004678,ICIJ,Panama Papers,ENTITY,MRH INVESTMENT S.A.,PMA,Defaulted,30-JAN-1989,05-MAR-2007,30-JUN-2005,,PMA;GBR,T.R. SOUTH AND CO. 4 WOODYARD LANE DULWICH; LONDON SE21 7BH ENGLAND; UNITED KINGDOM *S.I.*,BUSINESS,
10004734,ICIJ,Panama Papers,ENTITY,Strathmore Ltd.,SAM,Defaulted,13-DEC-2013,19-FEB-2015,15-FEB-2015,,SAM;GBR,A1 COMPANY SERVICES LIMITED 788-790 FINCHLEY ROAD LONDON NW11 7TJ ENGLAND UNITED KINGDOM,BUSINESS,
10004811,ICIJ,Panama Papers,ENTITY,SASONS INTERNATIONAL CORPORATION,PMA,Active,22-OCT-1991,,,,PMA;GBR,PARVEZ & CO. CHARTERED ACCOUNTANTS 20 GREYHOUND ROAD LONDON W6 8NX ENGLAND,BUSINESS,
10004820,ICIJ,Panama Papers,ENTITY,CORMORAN TRADING LLC,NEV,Defaulted,15-OCT-2007,30-MAR-2010,01-NOV-2010,,NEV;GBR,CEC GROUP LIMITED 11 HERA COURT CYCLOPS WHARF HOMER DRIVE LONDON E14 3UJ UNITED KINGDOM,BUSINESS,
10004875,ICIJ,Panama Papers,ENTITY,JAFAH ENTERPRISES INC.,PMA,Dissolved,20-JUL-1993,20-SEP-1999,20-OCT-1999,,PMA;GBR,MR. ABDUL BAQI ARSHAD 11 RECTORY ORCHARD CHURCH ROAD LONDON SW19 5AS ENGLAND S.I.,BUSINESS,
10004890,ICIJ,Panama Papers,ENTITY,ELIZABETH REALTY INC.,PMA,Inactivated,26-APR-1990,27-MAY-1991,26-JUL-1991,,PMA;GBR,"GEORGALLIS & CO. 69 CROUCH HALL RD CROUCH END LONDON N8 8HD ENGLAND, UNITED KINGDOM",BUSINESS,
10004891,ICIJ,Panama Papers,ENTITY,TSAP PROPERTIES INC.,PMA,Defaulted,26-APR-1990,04-OCT-1991,26-JUL-1991,,PMA;GBR,"GEORGALLIS & CO. 69 CROUCH HALL RD CROUCH END LONDON N8 8HD ENGLAND, UNITED KINGDOM",BUSINESS,
10004937,ICIJ,Panama Papers,ENTITY,SANER COMPANY INC.,PMA,Defaulted,16-DEC-1991,21-DEC-2007,15-JAN-2009,,PMA;GBR,"MIDDLETON POTTS 3 CLOTH STREET BARBICAN LONDON EC1A 7NP ENGLAND, UNITED KINGDOM",BUSINESS,
10005066,ICIJ,Panama Papers,ENTITY,IMIR ENTERPRISES LTD INC.,PMA,Trash company,20-FEB-1981,26-JUN-1990,20-MAY-1982,,PMA;GBR,"SCANIA DEVELOPMENTS LIMITED 1 SWANSCOMBE ROAD LONDON W11 4SU ENGLAND, UNITED KINGDOM",BUSINESS,
10005175,ICIJ,Panama Papers,ENTITY,FANAR INC.,PMA,Active,24-FEB-1992,,,,PMA;GBR,HAROLD BENJAMIN SOLICITORS 48 QUEEN ANNE STREET LONDON W1G 9JJ ENGLAND,BUSINESS,
10005177,ICIJ,Panama Papers,ENTITY,AMAL ESTATES INC.,PMA,Defaulted,05-NOV-1980,04-APR-1996,05-FEB-1982,,PMA;GBR,HAROLD BENJAMIN SOLICITORS 48 QUEEN ANNE STREET LONDON W1G 9JJ ENGLAND,BUSINESS,
10005346,ICIJ,Panama Papers,ENTITY,AZAIR OVERSEAS INC.,PMA,Defaulted,21-OCT-1980,09-NOV-1996,21-JAN-1982,,PMA;GBR,AZAIR OVERSEAS INC. ILIFFES (LONDON) 40 BERNARD STREET LONDON WCIN 1LE ENGLAND ATT: N. J. BURNETT,BUSINESS,
10005313,ICIJ,Panama Papers,ENTITY,CHEMTEC INC.,PMA,Dissolved,08-MAY-1991,10-MAY-1993,08-AUG-1992,,PMA;GBR,"INTERTRUST LIMITED SCEPTRE HOUSE 169-173 REGENT STREET LONDON W1R 7FB ENGLAND, UNITED KINGDOM",BUSINESS,
10005374,ICIJ,Panama Papers,ENTITY,WARBURTON PROPERTIES INC.,PMA,Defaulted,08-MAR-1988,21-JAN-1999,08-JUN-1989,,PMA;GBR,"PORTNER AND JASKEL 8 WELBECK WAY LONDON W1M 8NB ENGLAND, UNITED KINGDOM",BUSINESS,
10005375,ICIJ,Panama Papers,ENTITY,ROMAN TRADING CO. INC.,PMA,Dissolved,08-MAR-1988,,08-JUN-2003,,PMA;GBR,DAVY PROCESS TECHNOLOGY LIMITED 20 EASTBOURNE TERRACE LONDON W2 6LE ENGLAND,BUSINESS,
10005376,ICIJ,Panama Papers,ENTITY,AU BON PAIN INC.,PMA,Dissolved,08-MAR-1988,12-APR-1994,08-JUN-1989,,PMA;GBR,"MR. ROBERT W. ROBINSON BURY HOUSE LONDON ROAD, OLD AMERSHAM BUCKS HP7 0EZ ENGLAND",BUSINESS,
10005381,ICIJ,Panama Papers,ENTITY,SASASA INC. S.A.,PMA,Active,15-DEC-1993,,,,PMA;GBR,"MR. ASAD. A. RUSHD C/O BONO PROPERTIES LTDINTERPARK HOUSE; 7 DOWN STREET, MAYFAIR LONDON W1J 7AJENGLAND LONDON UNITED KINGDOM",BUSINESS,
10005421,ICIJ,Panama Papers,ENTITY,ZEEPAARD SHIPPING COMPANY S.A.,PMA,Defaulted,25-AUG-1988,14-DEC-1995,25-NOV-1989,,PMA;GBR,"MR. PETER STEPHEN CHOYNOWSKI 9 TREVOR STREET LONDON SW7 1DX ENGLAND, UNITED KINGDOM",BUSINESS,
10005486,ICIJ,Panama Papers,ENTITY,EXPORT-IMPORT TELEFLEX INC.,PMA,Active,21-MAR-1980,,,,PMA;GBR,"CHILD & CHILD 4 GROSVENOR PLACE, SW1X 7HJ LONDON UNITED KINGDOM",BUSINESS,
10005487,ICIJ,Panama Papers,ENTITY,CARLIN PROPERTIES CORPORATION,PMA,Changed agent,31-AUG-1989,12-FEB-1999,30-NOV-1999,,PMA;GBR,CARLIN PROPERTIES CORPORATION CARLIN PROPERTIES CORPORATION C/O MESSILA HOUSE LTD. MESSILA HOUSE 51 SOUTH AUDLEY STREET LONDON W1Y 6AA ENGLAND,BUSINESS,
10005532,ICIJ,Panama Papers,ENTITY,WESTINCO S.A.,PMA,Trash company,06-MAR-1990,14-JAN-1993,06-JUN-1991,,PMA;GBR,MARTIN POTTER & CO. 17; DEVONSHIRE STREET LONDON W1N 1FS ENGLAND; UNITED KINGDOM,BUSINESS,
10005680,ICIJ,Panama Papers,ENTITY,ECOSEC HOLDINGS S.A.,PMA,Dissolved,30-JUL-1980,07-NOV-1984,30-OCT-1981,,PMA;GBR,"WINCKWORTH & PEMBERTON (LONDON) 35 GREAT PETER STREET WESTMINSTER LONDON SW1P 3LR ENGLAND, UNITED KINGDOM",BUSINESS,
10005745,ICIJ,Panama Papers,ENTITY,WASMIYA ESTATES INC.,PMA,Inactivated,29-AUG-1988,04-JUL-1990,29-NOV-1989,,PMA;GBR,HAROLD BENJAMIN SOLICITORS 48 QUEEN ANNE STREET LONDON W1G 9JJ ENGLAND,BUSINESS,
10005748,ICIJ,Panama Papers,ENTITY,BONUS VENTURE INC.,PMA,Trash company,09-MAR-1988,04-JAN-1993,09-JUN-1989,,PMA;GBR,"COHEN AND NAICKER 258 BELSIZE ROAD LONDON NW6 4BT ENGLAND, UNITED KINGDOM",BUSINESS,
10005794,ICIJ,Panama Papers,ENTITY,MAYFAIR INVESTMENT CORPORATION S.A.,PMA,Dissolved,07-FEB-1990,19-MAR-1999,07-MAY-1999,,PMA;GBR,"MR. ASAD. A. RUSHD C/O BONO PROPERTIES LTDINTERPARK HOUSE; 7 DOWN STREET, MAYFAIR LONDON W1J 7AJENGLAND LONDON UNITED KINGDOM",BUSINESS,
10005811,ICIJ,Panama Papers,ENTITY,WORCESTER PROPERTIES INC.,PMA,Defaulted,22-DEC-1993,,22-MAR-1995,,PMA;GBR,MR. TEDI DETOLEDO 124 SUTHERLAND AVENUE FLAT 9 GB - LONDON W9 2QP ENGLAND,BUSINESS,
10005831,ICIJ,Panama Papers,ENTITY,BOURNE INVESTMENT & FINANCE CORPORATION,PMA,Defaulted,21-NOV-1991,16-SEP-1999,21-FEB-2000,,PMA;GBR,"KIDD RAPINET 14 & 15 CRAVEN STREET LONDON WC2N 5AD ENGLAND, UNITED KINGDOM",BUSINESS,
10005868,ICIJ,Panama Papers,ENTITY,KAMCORP INVESTMENTS INC.,PMA,Defaulted,03-FEB-1994,14-AUG-1996,03-MAY-1995,,PMA;GBR,HAROLD BENJAMIN SOLICITORS 48 QUEEN ANNE STREET LONDON W1G 9JJ ENGLAND,BUSINESS,
10005851,ICIJ,Panama Papers,ENTITY,CLOVIS MANAGEMENT INC,SAM,Defaulted,13-JAN-2009,17-FEB-2011,15-FEB-2011,,SAM;GBR,NEW ITALIAN SERVICES LTD 48 Bishopsgate London London EC2N 4AJ,BUSINESS,
10005878,ICIJ,Panama Papers,ENTITY,ASHCOLIN S.A.,PMA,Resigned as agent,04-MAY-1990,07-NOV-2008,15-JUL-2009,,PMA;GBR,ASHCOLIN S. A.  F HOWARD 376 VICTORIA PLACE LONDON SW1V 1AA UNITED KINGDOM,BUSINESS,
10006037,ICIJ,Panama Papers,ENTITY,NAHI S.A.,PMA,Active,21-JUL-1992,,,,PMA;GBR,"MR. ASAD. A. RUSHD C/O BONO PROPERTIES LTDINTERPARK HOUSE; 7 DOWN STREET, MAYFAIR LONDON W1J 7AJENGLAND LONDON UNITED KINGDOM",BUSINESS,
10005964,ICIJ,Panama Papers,ENTITY,ZUMAYA HOLDINGS S. A.,PMA,Active,25-APR-1980,,,,PMA;FRA,HOWARD KENNEDY SOLICITO [Mr Michael Chapelow] 19 Cavendish Square London W1A 2Aw FRANCE,BUSINESS,
10006053,ICIJ,Panama Papers,ENTITY,GLOUCESTER HOLDINGS S.A.,PMA,Dissolved,11-AUG-1980,13-JUL-1982,11-NOV-1981,,PMA;GBR,"HAMLIN SLOWE & CO. (LONDON) P. O. BOX 4SQ ROXBURGHE HOUSE 273-287 REGENT STREET LONDON W1A 4SQ ENGLAND, UNITED KINGDOM",BUSINESS,
10006055,ICIJ,Panama Papers,ENTITY,EASTERN PACKAGING CORPORATION,PMA,Defaulted,08-JUN-1990,28-APR-1998,08-SEP-1998,,PMA;GBR,T.R. SOUTH AND CO. 4 WOODYARD LANE DULWICH; LONDON SE21 7BH ENGLAND; UNITED KINGDOM *S.I.*,BUSINESS,
10006215,ICIJ,Panama Papers,ENTITY,UNIVERSAL COMMERCIAL ENTERPRISE CORPORATION,PMA,Changed agent,04-APR-1988,19-SEP-1991,04-JUL-1989,,PMA;GBR,"STONEHAGE LIMITED (LONDON) 8 QUEEN ANNE STREET LONDON, W1M 9LD ENGLAND",BUSINESS,
10006252,ICIJ,Panama Papers,ENTITY,BEAZER TRADING INC.,PMA,Defaulted,15-JAN-1990,03-MAR-1994,15-APR-1991,,PMA;GBR,"AMIN & CO. 98 FLEETWOOD ROAD DOLLIS HILL LONDON NW10 1NN ENGLAND, UNITED KINGDOM **S.I.**",BUSINESS,
10006318,ICIJ,Panama Papers,ENTITY,LIFESHIELD INTERNATIONAL S.A.,PMA,Defaulted,25-SEP-1989,10-FEB-1993,25-DEC-1990,,PMA;GBR,"GEORGETTE ANNE YVETTE ROEFS 156 CAMPDEN HILL ROAD LONDON W8 7AS ENGLAND, UNITED KINGDOM",BUSINESS,
10006322,ICIJ,Panama Papers,ENTITY,ATLANTIS COMMERCIAL OVERSEAS INC.,PMA,Trash company,18-MAR-1988,04-JAN-1993,18-JUN-1989,,PMA;GBR,"COHEN AND NAICKER 258 BELSIZE ROAD LONDON NW6 4BT ENGLAND, UNITED KINGDOM",BUSINESS,
10006363,ICIJ,Panama Papers,ENTITY,NATLUS CORPORATION,PMA,Defaulted,13-JUL-1989,14-DEC-1995,13-OCT-1990,,PMA;GBR,PARVEZ & CO. CHARTERED ACCOUNTANTS 20 GREYHOUND ROAD LONDON W6 8NX ENGLAND,BUSINESS,
10006427,ICIJ,Panama Papers,ENTITY,MAHA INTERNATIONAL INC.,PMA,Dissolved,23-FEB-1994,24-APR-2015,15-JUL-2016,,PMA;GBR,MR. ABDUL BAQI ARSHAD 11 RECTORY ORCHARD CHURCH ROAD LONDON SW19 5AS ENGLAND S.I.,BUSINESS,
