anchor_record_id,anchor_domain,pointer_record_id,pointer_domain,relationship_role,rel_type,from_date,thru_date
10082568,ICIJ_ID,14091846,ICIJ_ID,registered address,ADDRESS,,
10082771,ICIJ_ID,10103667,ICIJ_ID,same name and registration date as,LINK,,
10084590,ICIJ_ID,14103351,ICIJ_ID,registered address,ADDRESS,,
10085868,ICIJ_ID,14093957,ICIJ_ID,registered address,ADDRESS,,
10123934,ICIJ_ID,14048827,ICIJ_ID,registered address,ADDRESS,,
10112197,ICIJ_ID,14098999,ICIJ_ID,registered address,ADDRESS,,
10112698,ICIJ_ID,14092589,ICIJ_ID,registered address,ADDRESS,,
10115027,ICIJ_ID,14098838,ICIJ_ID,registered address,ADDRESS,,
10116547,ICIJ_ID,14098772,ICIJ_ID,registered address,ADDRESS,,
10122076,ICIJ_ID,14098838,ICIJ_ID,registered address,ADDRESS,,
10126537,ICIJ_ID,10131622,ICIJ_ID,same name and registration date as,LINK,,
10126537,ICIJ_ID,14098995,ICIJ_ID,registered address,ADDRESS,,
10128874,ICIJ_ID,10131103,ICIJ_ID,same name and registration date as,LINK,,
10128874,ICIJ_ID,14107078,ICIJ_ID,registered address,ADDRESS,,
10129204,ICIJ_ID,14105434,ICIJ_ID,registered address,ADDRESS,,
10132729,ICIJ_ID,10136211,ICIJ_ID,same name and registration date as,LINK,,
10132729,ICIJ_ID,14098435,ICIJ_ID,registered address,ADDRESS,,
10134797,ICIJ_ID,14099347,ICIJ_ID,registered address,ADDRESS,,
10135921,ICIJ_ID,14108213,ICIJ_ID,registered address,ADDRESS,,
10138519,ICIJ_ID,14106311,ICIJ_ID,registered address,ADDRESS,,
10145946,ICIJ_ID,14098436,ICIJ_ID,registered address,ADDRESS,,
10149749,ICIJ_ID,14097512,ICIJ_ID,registered address,ADDRESS,,
10150452,ICIJ_ID,14096548,ICIJ_ID,registered address,ADDRESS,,
10195349,ICIJ_ID,14097098,ICIJ_ID,registered address,ADDRESS,,
10159166,ICIJ_ID,14100423,ICIJ_ID,registered address,ADDRESS,,
10162489,ICIJ_ID,14098977,ICIJ_ID,registered address,ADDRESS,,
10167886,ICIJ_ID,14103633,ICIJ_ID,registered address,ADDRESS,,
10169334,ICIJ_ID,14096546,ICIJ_ID,registered address,ADDRESS,,
10170007,ICIJ_ID,14093957,ICIJ_ID,registered address,ADDRESS,,
10170916,ICIJ_ID,14096546,ICIJ_ID,registered address,ADDRESS,,
10171753,ICIJ_ID,14093957,ICIJ_ID,registered address,ADDRESS,,
10175432,ICIJ_ID,14093957,ICIJ_ID,registered address,ADDRESS,,
10175606,ICIJ_ID,14092769,ICIJ_ID,registered address,ADDRESS,,
10176076,ICIJ_ID,14103351,ICIJ_ID,registered address,ADDRESS,,
10176473,ICIJ_ID,14093957,ICIJ_ID,registered address,ADDRESS,,
10176534,ICIJ_ID,14097575,ICIJ_ID,registered address,ADDRESS,,
10177305,ICIJ_ID,14093957,ICIJ_ID,registered address,ADDRESS,,
10179122,ICIJ_ID,14098635,ICIJ_ID,registered address,ADDRESS,,
10179575,ICIJ_ID,14103351,ICIJ_ID,registered address,ADDRESS,,
10179741,ICIJ_ID,14092769,ICIJ_ID,registered address,ADDRESS,,
10180688,ICIJ_ID,14108485,ICIJ_ID,registered address,ADDRESS,,
10181382,ICIJ_ID,14102944,ICIJ_ID,registered address,ADDRESS,,
10181398,ICIJ_ID,14102944,ICIJ_ID,registered address,ADDRESS,,
10182954,ICIJ_ID,10199159,ICIJ_ID,same name and registration date as,LINK,,
10183467,ICIJ_ID,14092769,ICIJ_ID,registered address,ADDRESS,,
10186058,ICIJ_ID,14092470,ICIJ_ID,registered address,ADDRESS,,
10187135,ICIJ_ID,14098473,ICIJ_ID,registered address,ADDRESS,,
10187284,ICIJ_ID,14092769,ICIJ_ID,registered address,ADDRESS,,
10189809,ICIJ_ID,14096177,ICIJ_ID,registered address,ADDRESS,,
10191779,ICIJ_ID,14093957,ICIJ_ID,registered address,ADDRESS,,
10191785,ICIJ_ID,14093957,ICIJ_ID,registered address,ADDRESS,,
10193657,ICIJ_ID,14092080,ICIJ_ID,registered address,ADDRESS,,
10196433,ICIJ_ID,14093957,ICIJ_ID,registered address,ADDRESS,,
10196750,ICIJ_ID,14093957,ICIJ_ID,registered address,ADDRESS,,
10203827,ICIJ_ID,14103494,ICIJ_ID,registered address,ADDRESS,,
10204086,ICIJ_ID,14093957,ICIJ_ID,registered address,ADDRESS,,
10206641,ICIJ_ID,14105258,ICIJ_ID,registered address,ADDRESS,,
10208897,ICIJ_ID,14100423,ICIJ_ID,registered address,ADDRESS,,
10210125,ICIJ_ID,14092085,ICIJ_ID,registered address,ADDRESS,,
109745,ICIJ_ID,286081,ICIJ_ID,registered address,ADDRESS,,
109795,ICIJ_ID,263710,ICIJ_ID,registered address,ADDRESS,,
108067,ICIJ_ID,263710,ICIJ_ID,registered address,ADDRESS,,
67203,ICIJ_ID,286081,ICIJ_ID,registered address,ADDRESS,,
109742,ICIJ_ID,286081,ICIJ_ID,registered address,ADDRESS,,
144325,ICIJ_ID,242354,ICIJ_ID,registered address,ADDRESS,,
144325,ICIJ_ID,236724,ICIJ_ID,registered address,ADDRESS,,
147727,ICIJ_ID,273099,ICIJ_ID,registered address,ADDRESS,,
162032,ICIJ_ID,235642,ICIJ_ID,registered address,ADDRESS,,
170631,ICIJ_ID,262990,ICIJ_ID,registered address,ADDRESS,,
179331,ICIJ_ID,286081,ICIJ_ID,registered address,ADDRESS,,
179805,ICIJ_ID,286081,ICIJ_ID,registered address,ADDRESS,,
179263,ICIJ_ID,286081,ICIJ_ID,registered address,ADDRESS,,
179383,ICIJ_ID,286081,ICIJ_ID,registered address,ADDRESS,,
179692,ICIJ_ID,270754,ICIJ_ID,registered address,ADDRESS,,
179773,ICIJ_ID,286081,ICIJ_ID,registered address,ADDRESS,,
179850,ICIJ_ID,286081,ICIJ_ID,registered address,ADDRESS,,
189378,ICIJ_ID,263710,ICIJ_ID,registered address,ADDRESS,,
189405,ICIJ_ID,286081,ICIJ_ID,registered address,ADDRESS,,
189491,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189501,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189503,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189525,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189531,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189532,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189538,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189554,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189562,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189568,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189607,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189624,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189630,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189633,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189672,ICIJ_ID,259808,ICIJ_ID,registered address,ADDRESS,,
189696,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189718,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189731,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189734,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189744,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189774,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189786,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189791,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189834,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189836,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189850,ICIJ_ID,286870,ICIJ_ID,registered address,ADDRESS,,
189853,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189889,ICIJ_ID,259978,ICIJ_ID,registered address,ADDRESS,,
189916,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189959,ICIJ_ID,259808,ICIJ_ID,registered address,ADDRESS,,
190006,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190007,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190137,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190145,ICIJ_ID,259808,ICIJ_ID,registered address,ADDRESS,,
190173,ICIJ_ID,259808,ICIJ_ID,registered address,ADDRESS,,
190193,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190198,ICIJ_ID,260238,ICIJ_ID,registered address,ADDRESS,,
190251,ICIJ_ID,236805,ICIJ_ID,registered address,ADDRESS,,
190257,ICIJ_ID,264047,ICIJ_ID,registered address,ADDRESS,,
190282,ICIJ_ID,286870,ICIJ_ID,registered address,ADDRESS,,
190300,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190321,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190455,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190456,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190460,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190501,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190540,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190543,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190554,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190564,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190577,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190712,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190794,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190907,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190925,ICIJ_ID,286870,ICIJ_ID,registered address,ADDRESS,,
191113,ICIJ_ID,263710,ICIJ_ID,registered address,ADDRESS,,
191312,ICIJ_ID,260238,ICIJ_ID,registered address,ADDRESS,,
191407,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
191410,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
191412,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
191685,ICIJ_ID,286081,ICIJ_ID,registered address,ADDRESS,,
191706,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
191742,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
191805,ICIJ_ID,286081,ICIJ_ID,registered address,ADDRESS,,
191837,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
191850,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
191882,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
191943,ICIJ_ID,236805,ICIJ_ID,registered address,ADDRESS,,
191961,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
192037,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
192038,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
192217,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
192239,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
192263,ICIJ_ID,259802,ICIJ_ID,registered address,ADDRESS,,
192271,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
192358,ICIJ_ID,263818,ICIJ_ID,registered address,ADDRESS,,
192359,ICIJ_ID,236805,ICIJ_ID,registered address,ADDRESS,,
192387,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
192402,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
192460,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
192490,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189313,ICIJ_ID,259808,ICIJ_ID,registered address,ADDRESS,,
192601,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
192604,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
192702,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
192713,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189485,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189507,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189536,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189553,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189561,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189573,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189574,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
192740,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189608,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189631,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
192802,ICIJ_ID,236805,ICIJ_ID,registered address,ADDRESS,,
189645,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189666,ICIJ_ID,260238,ICIJ_ID,registered address,ADDRESS,,
189707,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189742,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189763,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189775,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189792,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189793,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
192887,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189823,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189847,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189862,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189874,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189926,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
193072,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
193075,ICIJ_ID,286081,ICIJ_ID,registered address,ADDRESS,,
193135,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
193137,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190046,ICIJ_ID,286870,ICIJ_ID,registered address,ADDRESS,,
190049,ICIJ_ID,286870,ICIJ_ID,registered address,ADDRESS,,
190133,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190165,ICIJ_ID,259808,ICIJ_ID,registered address,ADDRESS,,
190174,ICIJ_ID,286870,ICIJ_ID,registered address,ADDRESS,,
193185,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
193194,ICIJ_ID,260238,ICIJ_ID,registered address,ADDRESS,,
193235,ICIJ_ID,271720,ICIJ_ID,registered address,ADDRESS,,
193242,ICIJ_ID,286081,ICIJ_ID,registered address,ADDRESS,,
193262,ICIJ_ID,286081,ICIJ_ID,registered address,ADDRESS,,
190177,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190192,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190211,ICIJ_ID,286870,ICIJ_ID,registered address,ADDRESS,,
190250,ICIJ_ID,236805,ICIJ_ID,registered address,ADDRESS,,
190256,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190286,ICIJ_ID,286870,ICIJ_ID,registered address,ADDRESS,,
190362,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
193441,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190423,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190452,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190453,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189312,ICIJ_ID,259808,ICIJ_ID,registered address,ADDRESS,,
190496,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190528,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
193792,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
193802,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189496,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189498,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189513,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189515,ICIJ_ID,286081,ICIJ_ID,registered address,ADDRESS,,
189516,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189522,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189523,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
193847,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
193927,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
193934,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
193937,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
193938,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
193961,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189567,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189579,ICIJ_ID,259808,ICIJ_ID,registered address,ADDRESS,,
189638,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189639,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189692,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189706,ICIJ_ID,286870,ICIJ_ID,registered address,ADDRESS,,
189711,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189715,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190639,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190641,ICIJ_ID,264047,ICIJ_ID,registered address,ADDRESS,,
190714,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190715,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
193977,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190730,ICIJ_ID,264047,ICIJ_ID,registered address,ADDRESS,,
190789,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
194034,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
194035,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189738,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189747,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189748,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189762,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189769,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190804,ICIJ_ID,260238,ICIJ_ID,registered address,ADDRESS,,
190910,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190915,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190950,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190978,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
191024,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189784,ICIJ_ID,286870,ICIJ_ID,registered address,ADDRESS,,
189787,ICIJ_ID,236805,ICIJ_ID,registered address,ADDRESS,,
189808,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189817,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189833,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189841,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189857,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189867,ICIJ_ID,259808,ICIJ_ID,registered address,ADDRESS,,
189876,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
194448,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
194452,ICIJ_ID,260238,ICIJ_ID,registered address,ADDRESS,,
189923,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
189925,ICIJ_ID,286870,ICIJ_ID,registered address,ADDRESS,,
190000,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190003,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190043,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190068,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
191150,ICIJ_ID,263710,ICIJ_ID,registered address,ADDRESS,,
190086,ICIJ_ID,263710,ICIJ_ID,registered address,ADDRESS,,
190116,ICIJ_ID,286081,ICIJ_ID,registered address,ADDRESS,,
190136,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190149,ICIJ_ID,259808,ICIJ_ID,registered address,ADDRESS,,
190150,ICIJ_ID,259808,ICIJ_ID,registered address,ADDRESS,,
190152,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190164,ICIJ_ID,259808,ICIJ_ID,registered address,ADDRESS,,
190170,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190197,ICIJ_ID,259808,ICIJ_ID,registered address,ADDRESS,,
190199,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
194488,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
191200,ICIJ_ID,286081,ICIJ_ID,registered address,ADDRESS,,
191203,ICIJ_ID,236805,ICIJ_ID,registered address,ADDRESS,,
191225,ICIJ_ID,260238,ICIJ_ID,registered address,ADDRESS,,
190266,ICIJ_ID,286870,ICIJ_ID,registered address,ADDRESS,,
194590,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
191266,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
191343,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
191406,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
194772,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190303,ICIJ_ID,286081,ICIJ_ID,registered address,ADDRESS,,
190327,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
191430,ICIJ_ID,286081,ICIJ_ID,registered address,ADDRESS,,
191508,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
191510,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
191595,ICIJ_ID,286081,ICIJ_ID,registered address,ADDRESS,,
190383,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190418,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190421,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190458,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190459,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190461,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190483,ICIJ_ID,286081,ICIJ_ID,registered address,ADDRESS,,
190500,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190529,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190530,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190552,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190563,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
194814,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190613,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190656,ICIJ_ID,236805,ICIJ_ID,registered address,ADDRESS,,
194834,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
194836,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
194887,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
191730,ICIJ_ID,286081,ICIJ_ID,registered address,ADDRESS,,
191734,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
191744,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
191753,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
191780,ICIJ_ID,263818,ICIJ_ID,registered address,ADDRESS,,
190676,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190677,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190696,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190719,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190736,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190782,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190790,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
190798,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
195003,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
195017,ICIJ_ID,288469,ICIJ_ID,registered address,ADDRESS,,
